date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,63.900002,66.519997,62.439999,65.099998,,,,
2018-02-28,64.699997,65.110001,57.060001,60.610001,,,,
2018-03-31,60.779999,65.779999,59.730000,61.040001,,,,
2018-04-30,60.400002,65.680000,58.910000,60.509998,,,,
2018-05-31,60.770000,61.189999,55.090000,55.700001,,,,
2018-06-30,56.000000,61.160000,55.900002,59.750000,,,,
2018-07-31,59.459999,62.090000,57.889999,60.000000,,,,
2018-08-31,59.950001,66.639999,59.139999,66.040001,,,,
2018-09-30,65.739998,70.879997,64.070000,70.180000,,,,
2018-10-31,70.709999,70.940002,63.480000,68.550003,62.748000,,62.748000,
2018-11-30,68.959999,70.779999,66.080002,68.449997,63.083000,,63.784727,
2018-12-31,68.500000,69.019997,59.959999,63.610001,63.383000,,63.752959,
2019-01-31,62.869999,70.120003,62.549999,69.620003,64.241000,,64.819694,
2019-02-28,69.459999,74.059998,65.559998,72.209999,65.411000,,66.163386,
2019-03-31,72.389999,74.059998,68.160004,69.099998,66.751000,,66.697315,
2019-04-30,69.540001,74.730003,68.699997,72.989998,68.075000,,67.841439,
2019-05-31,73.139999,80.930000,72.250000,73.440002,69.419000,,68.859360,
2019-06-30,73.620003,79.260002,72.769997,74.139999,70.229000,,69.819476,
2019-07-31,74.669998,85.220001,73.919998,79.730003,71.184000,,71.621390,
2019-08-31,79.989998,80.309998,75.269997,78.050003,72.134000,67.441000,72.790229,67.441000
2019-09-30,77.900002,81.150002,76.769997,78.769997,73.166000,68.124500,73.877459,68.519952
2019-10-31,78.879997,83.849998,75.820000,82.660004,75.071001,69.227000,75.474286,69.866624
2019-11-30,83.089996,83.190002,76.330002,78.550003,75.964001,70.102501,76.033507,70.693612
2019-12-31,78.580002,78.839996,74.309998,78.419998,76.585001,70.998001,76.467414,71.429459
