date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,38.669998,42.980000,38.430000,41.540001,,,,
2018-02-28,41.090000,45.889999,37.349998,44.779999,,,,
2018-03-31,44.680000,46.160000,41.580002,42.889999,,,,
2018-04-30,42.520000,45.340000,40.189999,44.290001,,,,
2018-05-31,43.910000,46.369999,42.520000,42.709999,,,,
2018-06-30,42.910000,44.810001,41.810001,43.029999,,,,
2018-07-31,42.560001,43.830002,40.939999,42.290001,,,,
2018-08-31,41.990002,47.830002,41.200001,47.770000,,,,
2018-09-30,47.840000,49.060001,46.439999,48.650002,,,,
2018-10-31,49.000000,49.470001,42.939999,45.750000,44.370000,,44.370000,
2018-11-30,45.669998,48.439999,44.080002,47.869999,45.003000,,45.006364,
2018-12-31,48.320000,49.139999,40.250000,43.330002,44.858000,,44.701570,
2019-01-31,42.279999,47.380001,40.959999,47.290001,45.298000,,45.172194,
2019-02-28,47.369999,51.959999,46.299999,51.770000,46.046000,,46.371795,
2019-03-31,52.000000,54.230000,50.509998,53.990002,47.174001,,47.756924,
2019-04-30,54.480000,57.529999,54.389999,55.950001,48.466001,,49.246574,
2019-05-31,56.000000,56.830002,51.060001,52.029999,49.440001,,49.752651,
2019-06-30,52.049999,58.150002,51.490002,54.730000,50.136000,,50.657624,
2019-07-31,55.259998,58.259998,54.230000,55.400002,50.811000,,51.519874,
2019-08-31,55.840000,56.889999,46.000000,46.810001,50.917001,47.643500,50.663534,47.643500
2019-09-30,46.630001,50.299999,46.200001,49.410000,51.071001,48.037000,50.435618,47.811738
2019-10-31,49.650002,49.869999,45.549999,47.509998,51.489000,48.173500,49.903688,47.783001
2019-11-30,46.849998,48.980000,44.439999,45.310001,51.291000,48.294500,49.068472,47.547477
2019-12-31,45.250000,48.369999,43.400002,47.959999,50.910000,48.478000,48.866931,47.586765
